Name	sample	TCGA-3X-AAV9-01	TCGA-3X-AAVA-01	TCGA-3X-AAVB-01	TCGA-3X-AAVC-01	TCGA-3X-AAVE-01	TCGA-4G-AAZO-01	TCGA-4G-AAZT-01	TCGA-W5-AA2G-01	TCGA-W5-AA2H-01	TCGA-W5-AA2I-01	TCGA-W5-AA2I-11	TCGA-W5-AA2O-01	TCGA-W5-AA2Q-01	TCGA-W5-AA2Q-11	TCGA-W5-AA2R-01	TCGA-W5-AA2R-11	TCGA-W5-AA2T-01	TCGA-W5-AA2U-01	TCGA-W5-AA2U-11	TCGA-W5-AA2W-01	TCGA-W5-AA2X-01	TCGA-W5-AA2X-11	TCGA-W5-AA2Z-01	TCGA-W5-AA30-01	TCGA-W5-AA30-11	TCGA-W5-AA31-01	TCGA-W5-AA31-11	TCGA-W5-AA33-01	TCGA-W5-AA34-01	TCGA-W5-AA34-11	TCGA-W5-AA36-01	TCGA-W5-AA38-01	TCGA-W5-AA39-01	TCGA-W6-AA0S-01	TCGA-WD-A7RX-01	TCGA-YR-A95A-01	TCGA-ZD-A8I3-01	TCGA-ZH-A8Y1-01	TCGA-ZH-A8Y2-01	TCGA-ZH-A8Y4-01	TCGA-ZH-A8Y5-01	TCGA-ZH-A8Y6-01	TCGA-ZH-A8Y8-01	TCGA-ZU-A8S4-01	TCGA-ZU-A8S4-11
IDO1-209	ENST00000523779.1	1.1447	-1.1172	-1.6394	2.9148	3.7083	0.2154	-0.6643	-1.685	3.9617	-1.685	-5.5735	-4.6082	-9.9658	-6.5064	2.5658	-2.3884	-2.8262	-0.3383	-9.9658	0.547	-3.0469	-2.0529	1.0363	-0.2845	-1.8836	0.1519	-1.7322	-1.3548	-9.9658	-3.3076	-9.9658	-9.9658	-9.9658	-0.1345	2.2633	-2.0529	-9.9658	-2.9324	-4.6082	-4.035	-9.9658	-9.9658	0.8408	2.4465	-2.9324
IL10-201	ENST00000367099.3	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-4.035	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.6259	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-4.035	-9.9658	-2.6349	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658
IL10-202	ENST00000423557.1	-2.3147	-3.0469	-1.3548	-1.5105	-1.8314	-9.9658	-6.5064	-2.9324	-0.1665	-4.035	-5.0116	-2.6349	-3.458	-2.9324	-2.0529	0.3573	-4.6082	-1.0262	-2.0529	-3.3076	-5.5735	-2.3884	-4.035	-2.5479	-4.035	-2.2447	-0.5543	-0.9971	-5.5735	-3.1714	-3.3076	-2.2447	-5.0116	-0.9971	-2.5479	-9.9658	-3.6259	-3.1714	-5.5735	-3.6259	-4.6082	-4.6082	-1.4699	-0.5756	-0.2671
IL10-203	ENST00000471071.1	-3.1714	-9.9658	-9.9658	-9.9658	-0.9132	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	0.5763	-9.9658	-9.9658	-9.9658	-1.7322	-9.9658	-9.9658	-3.0469	-9.9658	-9.9658	-1.0262	-0.7346	-9.9658	-9.9658	-2.9324	-6.5064	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.7322	-9.9658	-9.9658	-3.0469	-9.9658	-9.9658	-1.9379	-1.1488	-0.6643
LGALS3-201	ENST00000254301.13	8.4193	6.7737	8.8714	8.1576	7.0677	5.6952	6.6496	7.7361	5.3009	6.8637	2.2299	6.8434	7.9474	4.2803	5.8637	2.6895	7.1528	7.4825	4.4183	6.2961	8.6595	4.0909	7.8477	6.5635	3.6657	7.0734	2.362	8.1385	6.8813	3.154	5.4172	8.4035	7.5241	7.4504	7.7333	7.1173	8.047	7.9376	6.9516	6.4512	10.339	8.732	7.6044	7.4573	2.5658
LGALS3-202	ENST00000553493.5	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658
LGALS3-203	ENST00000553755.5	5.7099	2.5437	6.2538	5.5681	5.0798	2.7805	-2.4659	5.5525	0.6425	-0.1665	-9.9658	2.9507	5.3424	0.4552	4.0532	-0.4325	4.6668	5.2555	-9.9658	3.6905	5.6494	1.5902	5.044	2.2019	-0.2498	4.0807	-1.0862	6.2003	2.59	0.5568	1.736	5.5205	3.2752	4.7005	4.0383	3.6089	5.774	5.1322	4.9547	4.215	7.012	6.2915	3.8218	4.9031	-0.4325
LGALS3-204	ENST00000554715.1	-9.9658	-2.6349	-1.685	-0.5332	-1.4305	-2.1779	-9.9658	-1.4305	-9.9658	-3.458	-9.9658	-0.4131	0.3231	-2.5479	-2.6349	-9.9658	-1.0262	-1.7322	-9.9658	0.044	1.4228	-2.8262	-1.5105	-0.8863	-9.9658	-1.4305	-9.9658	1.934	-9.9658	-9.9658	-9.9658	-2.8262	-9.9658	-1.3183	-1.0559	-1.5522	-1.5105	0.4125	-9.9658	-2.7274	2.3843	1.3283	-1.3548	-9.9658	-9.9658
LGALS3-205	ENST00000556263.1	-2.2447	-9.9658	-2.114	-1.7322	-9.9658	-9.9658	-9.9658	-1.8314	-9.9658	-9.9658	-9.9658	-1.4305	-0.4719	-9.9658	-9.9658	-9.9658	-1.0262	-2.1779	-9.9658	-1.7809	-1.2481	-9.9658	-0.5973	-9.9658	-9.9658	-1.4305	-9.9658	-0.1031	-9.9658	-9.9658	-9.9658	-2.0529	-9.9658	-0.5543	-9.9658	-0.8599	-9.9658	-1.4699	-9.9658	-1.0862	0.7146	-1.0262	-0.9971	-9.9658	-9.9658
LGALS3-206	ENST00000556322.1	-0.7588	-2.1779	-2.2447	-1.8836	-2.0529	-9.9658	-9.9658	-1.0262	-9.9658	-1.9942	-9.9658	-2.6349	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.3147	-9.9658	-9.9658	-2.3147	-9.9658	-2.1779	-9.9658	-9.9658	-2.5479	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-0.5973	-2.5479	-9.9658	-2.6349	-1.9379	-0.5756	-9.9658	-9.9658	-1.7809	-1.9942	-2.7274	-9.9658	-9.9658
LGALS3-207	ENST00000556438.6	2.5087	0.6699	2.9911	2.6114	1.2636	0.679	1.2333	1.8564	0.0718	1.7489	-2.1779	0.7058	2.59	-1.2828	0.4761	-5.0116	2.7679	1.2815	-0.8084	1.2934	3.9746	-0.394	1.8879	1.5064	-1.2481	2.2299	-2.4659	3.3828	1.8404	-2.6349	-0.1504	2.0742	1.8282	1.8801	1.4704	1.9749	3.1079	2.6828	0.9191	0.7579	4.7312	3.4437	1.736	1.5266	-2.4659
LRRC32-201	ENST00000260061.9	5.1023	3.3745	4.834	1.4808	3.0287	1.105	2.6738	3.6725	1.412	-0.4131	0.7146	1.8119	3.325	2.6043	2.9488	0.9038	2.4306	3.1261	1.0222	2.5213	2.4492	2.0742	4.8248	4.0653	2.299	4.0357	1.1706	4.0532	1.5415	0.9568	3.1162	2.0673	2.2237	2.7465	3.6961	3.2647	3.6451	4.2212	3.0585	2.3222	3.5547	4.1547	3.6894	3.1701	0.6608
LRRC32-202	ENST00000404995.5	2.1638	0.5568	1.0433	-0.1993	0.1776	-2.8262	-0.1993	1.2636	-2.114	-2.2447	-1.3183	-1.685	0.9862	0.4552	0.0158	-0.4521	-0.1187	0.8647	-1.5105	-0.4325	-0.1345	-0.5543	1.5854	1.5998	0.1648	1.3567	-0.7108	1.5661	-2.114	-1.5951	-0.9406	-0.1993	-1.7322	0.3573	0.8164	-0.1031	0.1648	1.5266	-0.1993	-1.2481	0.9789	1.6964	-0.2328	0.6969	-2.1779
LRRC32-203	ENST00000407242.6	2.4008	1.2756	2.2391	1.7273	0.9115	-9.9658	-9.9658	1.3167	-2.8262	-9.9658	-2.8262	-1.5951	0.9419	0.4125	1.2085	-1.4699	0.8488	0.5271	-0.8599	0.8883	-0.8339	-1.8314	2.4518	1.7575	0.099	1.934	-1.0262	1.949	-2.5479	-3.3076	-1.4699	-0.9406	-9.9658	1.2147	-0.1993	-1.2142	1.1316	2.3077	0.03	1.4065	2.2482	1.9749	1.3791	0.1257	-3.0469
LRRC32-204	ENST00000421973.1	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658
LRRC32-205	ENST00000464145.1	5.4047	3.3492	5.6767	3.0927	2.2813	2.5487	5.8657	3.7867	3.2389	3.3307	1.7009	3.1426	2.5948	3.6324	2.7679	0.6699	3.7486	2.7763	2.5288	1.4808	3.4687	2.3953	3.8136	4.0748	2.9109	3.8749	1.5758	2.651	2.7826	1.5013	4.7919	3.0358	2.5036	2.7465	4.5129	4.9208	4.554	3.6289	2.1894	2.2693	3.3148	3.1637	3.5706	3.728	1.1316
PDCD1LG2-201	ENST00000397747.4	0.7146	-1.5522	0.4552	-0.3383	0.434	-1.9942	-2.5479	0.2998	0.8647	-5.0116	-1.9942	-3.0469	-1.4699	-0.0277	1.2271	-0.8599	-4.2934	-0.4325	-1.3548	-0.5543	-4.6082	-0.7108	-0.6416	-0.6873	-1.1811	-0.013	-1.1172	0.2881	-2.114	-1.0262	-2.6349	-2.6349	-5.5735	-0.8863	-0.2498	-1.7322	-1.9942	-1.4305	-1.1811	-2.3884	-1.7809	-0.9132	0.2522	4.3148	-0.8084
SIGLEC15-201	ENST00000389474.7	-2.114	-5.0116	-1.4699	-2.3884	-5.0116	-9.9658	-9.9658	-2.4659	-2.4659	-2.9324	-9.9658	-5.0116	-9.9658	-4.2934	-2.6349	-9.9658	-9.9658	-3.458	-4.6082	-9.9658	-9.9658	-9.9658	-9.9658	-5.0116	-9.9658	-9.9658	-9.9658	-4.6082	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-5.5735	-9.9658	-3.458	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-4.6082	5.323	-9.9658
SIGLEC15-202	ENST00000546268.5	-3.3076	-9.9658	-4.6082	-2.5479	-9.9658	-4.035	-9.9658	-3.3076	-9.9658	-9.9658	-9.9658	-9.9658	-2.114	-9.9658	-2.9324	-9.9658	-4.6082	-2.2447	-9.9658	-1.8836	-5.0116	-9.9658	-9.9658	-2.1779	-9.9658	-9.9658	-9.9658	-4.6082	-5.0116	-9.9658	-9.9658	-2.5479	-9.9658	-9.9658	-3.816	-9.9658	-4.035	-1.9942	-3.6259	-9.9658	-9.9658	-4.6082	-2.6349	-3.0469	-9.9658
SIGLEC15-203	ENST00000587418.2	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.6259	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-4.2934	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.9324	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.458	-9.9658	-9.9658	-9.9658	-9.9658	-4.035	0.4552	-9.9658
SIGLEC15-204	ENST00000593178.2	-0.6416	-2.6349	2.2082	2.4386	-1.9942	-0.394	-1.685	-1.5951	-2.8262	3.2282	-1.5951	-3.6259	3.7443	-2.3147	2.0707	-4.035	-0.9971	0.058	-1.9942	2.4779	-4.2934	-4.2934	-2.7274	0.8488	-2.4659	0.8164	-1.7809	2.3677	-4.2934	-1.5951	-3.816	5.1375	-5.5735	-3.816	-0.9406	-3.816	1.934	2.694	-2.7274	-2.1779	-1.8314	-2.114	1.8363	6.3792	-3.6259
SIGLEC15-205	ENST00000602118.6	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.685	-1.9379	-2.3884	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.5479	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.6259	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-6.5064	0.8164	-9.9658	-4.035	-9.9658	-6.5064	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	1.3454	-9.9658
TDO2-201	ENST00000503634.5	-3.3076	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.6259	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.458	-9.9658	-3.816	-9.9658	-9.9658	-3.6259	-9.9658	-9.9658	-3.6259	-9.9658	-9.9658	-4.035	-4.035	-3.816	-3.6259	-9.9658	-3.6259	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.5479	-9.9658	-1.5105	-9.9658	-9.9658	-9.9658	-3.816	-2.5479	-9.9658
TDO2-202	ENST00000506072.5	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.1714	-9.9658	-2.9324	-9.9658	-3.6259	-9.9658	-1.5522	-3.0469	-9.9658	-3.6259	-9.9658	-9.9658	-3.458	-9.9658	-0.6193	-9.9658	-9.9658	-1.3921	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-0.1187	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.9379	-1.6394
TDO2-203	ENST00000506181.5	-3.3076	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.3076	-9.9658	-9.9658	-9.9658	-9.9658	-4.6082	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-4.2934	-9.9658	-9.9658	-9.9658	-4.6082	-4.6082	-4.2934	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.2447	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658
TDO2-204	ENST00000507590.5	-9.9658	-9.9658	-9.9658	-2.8262	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.0469	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.1714	-9.9658	-9.9658	-9.9658	-9.9658	-2.4659
TDO2-205	ENST00000509738.1	-9.9658	-9.9658	-4.6082	-4.2934	-4.2934	-9.9658	-9.9658	-1.9379	-9.9658	-9.9658	1.9527	-2.5479	-2.2447	-0.5332	-9.9658	-0.3752	-9.9658	-3.6259	2.7161	-9.9658	-3.816	3.162	-3.458	-9.9658	1.3109	-0.9971	2.3337	-1.8836	-9.9658	2.0465	-9.9658	-9.9658	2.8819	-9.9658	-1.1811	-2.6349	-2.9324	-4.2934	-9.9658	-9.9658	-9.9658	-9.9658	-2.3147	-3.458	0.7999
TDO2-206	ENST00000510293.1	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-0.9686	-9.9658	-9.9658	0.9419	-9.9658	-0.8339	0.605	-9.9658	-0.0725	-9.9658	-9.9658	2.0325	-9.9658	-9.9658	1.5064	-9.9658	-0.2845	0.6239	-0.6416	1.46	0.4657	-9.9658	-9.9658	-9.9658	-9.9658	0.688	-9.9658	-9.9658	-9.9658	-1.1811	-0.9132	-3.1714	-9.9658	-9.9658	-9.9658	-0.6416	-9.9658	1.4281
TDO2-207	ENST00000512584.5	-6.5064	-6.5064	-4.6082	-3.3076	-5.0116	-9.9658	-9.9658	-3.0469	-6.5064	-9.9658	2.3077	-3.0469	-1.8314	-0.1828	-6.5064	0.4967	-6.5064	-6.5064	2.5707	-5.5735	-6.5064	3.0515	-3.0469	-4.6082	1.4065	-1.2142	2.299	-2.114	-9.9658	2.0604	-9.9658	-9.9658	3.6612	-4.6082	-1.4305	-3.3076	-4.6082	-4.6082	-9.9658	-9.9658	-6.5064	-4.6082	-2.3147	-5.0116	0.8568
TDO2-208	ENST00000536354.2	1.4859	1.884	1.5612	3.011	1.2636	-2.2447	0.1388	5.7304	1.5902	0.1648	8.4079	4.2803	3.6101	7.0635	-0.1504	7.744	0.9115	0.7579	8.9716	1.1382	0.8961	8.5391	2.694	2.2206	8.2431	5.8592	8.4931	5.4446	-0.6873	7.5813	0.6145	2.0638	9.1365	1.614	5.1367	3.9089	2.7826	2.2753	-1.3921	3.3478	1.0151	1.0363	4.8309	3.7313	8.5863
TGFB1-201	ENST00000221930.5	5.709	6.3386	5.2208	3.7529	4.6404	3.3221	4.2929	6.1799	5.7501	1.7273	0.9268	2.9893	4.5928	3.6113	4.4816	2.2633	5.6011	4.2892	2.0878	5.4932	3.1095	2.9692	5.8344	4.5454	2.9948	7.1901	2.0604	4.5167	3.7226	2.0004	5.0571	3.5633	2.1345	7.4534	4.4874	3.644	5.8339	5.7514	5.5441	4.3456	5.213	3.7529	6.0926	6.154	2.0147
TGFB1-202	ENST00000597453.1	-1.6394	-9.9658	-0.4521	-9.9658	-1.9942	-1.0862	-0.6643	-0.9132	1.9111	-0.8084	-9.9658	-1.0262	-9.9658	-1.3921	-1.0559	-9.9658	-1.6394	-1.1811	-9.9658	-0.7108	-0.9971	-1.2828	-1.8836	-0.8084	-9.9658	0.8647	-9.9658	-9.9658	-0.7834	-2.3147	0.7832	-0.3201	-9.9658	1.5563	-1.8836	-9.9658	-0.394	0.5666	-1.8314	-1.9942	-1.685	-1.7809	0.9642	0.2154	-2.2447
TGFB1-203	ENST00000598758.5	2.0004	1.3109	0.9343	-1.0262	0.7233	-9.9658	3.4817	0.4447	3.644	1.6875	-0.2671	0.2762	0.1776	-0.2498	-0.9132	-2.5479	0.5568	-0.1345	0.537	0.8805	0.547	-9.9658	1.3735	1.3791	-0.5125	0.8805	-2.114	1.1577	0.0854	0.1519	-0.013	1.7446	-0.4521	1.412	1.683	1.0642	0.099	-9.9658	1.0151	1.3791	2.7357	1.1382	1.7446	1.1117	-0.6643
TGFB1-204	ENST00000600196.1	1.0363	1.8484	1.6374	-0.1993	0.044	-0.4921	1.3511	1.9786	3.3577	-9.9658	-9.9658	-0.9971	-9.9658	0.3231	1.2147	-1.2142	1.4281	-1.4699	-3.3076	1.4441	0.5568	0.3573	0.9115	-0.0574	-9.9658	2.685	-2.3884	0.0854	0.3907	-1.0862	2.2633	-0.1031	-4.6082	2.7379	1.4808	-0.8863	1.9415	-9.9658	1.4911	-1.6394	1.5514	-2.3884	1.7009	2.0604	-9.9658
